順位,装備Lv,項目,設定,期待メソ (B),スコア,メソ/スコア (M),種別
1,160,潜在 武器 / 攻撃%orボス 2ライン ←1ライン,グローイングキューブ,0.184,339.5,0.54,潜在
2,200,潜在 武器 / 攻撃%orボス 2ライン ←1ライン,グローイングキューブ,0.188,339.5,0.55,潜在
3,150,潜在 武器 / 攻撃%orボス 2ライン ←1ライン,グローイングキューブ,0.183,325.8,0.56,潜在
4,250,潜在 武器 / 攻撃%orボス 2ライン ←1ライン,グローイングキューブ,0.195,339.5,0.57,潜在
5,160,潜在 補助武器 / 攻撃%orボス 2ライン ←1ライン,グローイングキューブ,0.247,350.3,0.71,潜在
6,200,潜在 補助武器 / 攻撃%orボス 2ライン ←1ライン,グローイングキューブ,0.253,350.3,0.72,潜在
7,150,潜在 補助武器 / 攻撃%orボス 2ライン ←1ライン,グローイングキューブ,0.246,335.9,0.73,潜在
8,250,潜在 補助武器 / 攻撃%orボス 2ライン ←1ライン,グローイングキューブ,0.262,350.3,0.75,潜在
9,100,潜在 エンブレム / 攻撃%2ライン ←1ライン,グローイングキューブ,0.903,403.0,2.24,潜在
10,160,潜在 武器 / 攻撃%2ライン ←1ライン,グローイングキューブ,1.144,409.8,2.79,潜在
11,200,潜在 武器 / 攻撃%2ライン ←1ライン,グローイングキューブ,1.17,409.8,2.85,潜在
12,250,潜在 武器 / 攻撃%2ライン ←1ライン,グローイングキューブ,1.211,409.8,2.96,潜在
13,150,潜在 武器 / 攻撃%2ライン ←1ライン,グローイングキューブ,1.138,369.7,3.08,潜在
14,160,潜在 補助武器 / 攻撃%2ライン ←1ライン,グローイングキューブ,1.564,421.5,3.71,潜在
15,200,潜在 補助武器 / 攻撃%2ライン ←1ライン,グローイングキューブ,1.6,421.5,3.8,潜在
16,250,潜在 補助武器 / 攻撃%2ライン ←1ライン,グローイングキューブ,1.656,421.5,3.93,潜在
17,150,潜在 補助武器 / 攻撃%2ライン ←1ライン,グローイングキューブ,1.556,380.8,4.09,潜在
18,150,スタフォ 0→18★,破壊防止なし,0.842,193,4.36,スタフォ
19,160,スタフォ 0→18★,破壊防止なし,1.022,211,4.84,スタフォ
20,200,スタフォ 0→18★,破壊防止なし,1.995,241,8.28,スタフォ
21,160,潜在 武器 / 攻撃%orボス 3ライン ←2ライン,グローイングキューブ,3.155,359.3,8.78,潜在
22,200,潜在 武器 / 攻撃%orボス 3ライン ←2ライン,グローイングキューブ,3.227,359.3,8.98,潜在
23,150,潜在 武器 / 攻撃%orボス 3ライン ←2ライン,グローイングキューブ,3.139,344.0,9.13,潜在
24,250,潜在 武器 / 攻撃%orボス 3ライン ←2ライン,グローイングキューブ,3.341,359.3,9.3,潜在
25,150,スタフォ 0→18★,破壊防止あり(15-17),1.801,193,9.33,スタフォ
26,160,スタフォ 0→18★,破壊防止あり(15-17),2.185,211,10.36,スタフォ
27,160,潜在 ハート / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,0.938,87.9,10.66,潜在
28,200,潜在 ハート / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,0.959,87.9,10.91,潜在
29,250,潜在 ハート / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,0.993,87.9,11.29,潜在
30,150,潜在 ハート / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,0.933,78.8,11.83,潜在
31,160,潜在 補助武器 / 攻撃%orボス 3ライン ←2ライン,グローイングキューブ,5.061,366.3,13.82,潜在
32,200,潜在 補助武器 / 攻撃%orボス 3ライン ←2ライン,グローイングキューブ,5.178,366.3,14.13,潜在
33,150,潜在 補助武器 / 攻撃%orボス 3ライン ←2ライン,グローイングキューブ,5.036,350.5,14.37,潜在
34,250,スタフォ 0→18★,破壊防止なし,3.897,271,14.38,スタフォ
35,250,潜在 補助武器 / 攻撃%orボス 3ライン ←2ライン,グローイングキューブ,5.36,366.3,14.63,潜在
36,160,潜在 アクセ(指輪等) / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.408,91.6,15.37,潜在
37,200,潜在 アクセ(指輪等) / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.441,91.6,15.72,潜在
38,250,潜在 アクセ(指輪等) / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.491,91.6,16.28,潜在
39,150,潜在 アクセ(指輪等) / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.401,82.4,17.0,潜在
40,200,スタフォ 0→18★,破壊防止あり(15-17),4.268,241,17.71,スタフォ
41,160,潜在 ベルト / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.654,89.9,18.4,潜在
42,160,潜在 マント / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.654,89.9,18.4,潜在
43,160,潜在 肩装飾 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.654,89.9,18.4,潜在
44,200,潜在 ベルト / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.692,89.9,18.83,潜在
45,200,潜在 マント / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.692,89.9,18.83,潜在
46,200,潜在 肩装飾 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.692,89.9,18.83,潜在
47,150,スタフォ 18→19★,1144 / モード1,1.137,59,19.27,スタフォ
48,250,潜在 ベルト / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.751,89.9,19.49,潜在
49,250,潜在 マント / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.751,89.9,19.49,潜在
50,250,潜在 肩装飾 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.751,89.9,19.49,潜在
51,150,潜在 ベルト / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.646,80.6,20.41,潜在
52,150,潜在 マント / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.646,80.6,20.41,潜在
53,150,潜在 肩装飾 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.646,80.6,20.41,潜在
54,160,スタフォ 18→19★,1144 / モード1,1.38,65,21.23,スタフォ
55,160,潜在 下衣 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.921,89.9,21.38,潜在
56,200,潜在 下衣 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.966,89.9,21.87,潜在
57,250,潜在 下衣 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.035,89.9,22.64,潜在
58,160,潜在 靴 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.119,90.7,23.36,潜在
59,150,潜在 下衣 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,1.912,80.6,23.73,潜在
60,200,潜在 靴 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.168,90.7,23.9,潜在
61,250,潜在 靴 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.244,90.7,24.74,潜在
62,150,潜在 靴 / 主ステ%3ライン(ALLステ%含む) ←2ライン,グローイングキューブ,2.109,81.4,25.91,潜在
